股票名稱,持股(%)
1.NVIDIA CORP,13.48%
2.META PLATFORMS INC,12.00%
3.NETFLIX INC,10.29%
4.BROADCOM LTD,9.78%
5.AMAZON.COM INC,9.73%
6.MICROSOFT CORP,9.06%
7.ALPHABET INC-CL A,8.56%
8.SNOWFLAKE INC-CLASS A,7.85%
9.APPLE INC,7.48%
10.TESLA INC,6.91%
