股票名稱,持股(%)
1.FAST RETAILING CO LTD,10.29%
2.TOKYO ELECTRON LTD,8.77%
3.ADVANTEST CORP,4.39%
4.SOFTBANK GROUP CORP,4.18%
5.SHIN-ETSU CHEMICAL CO LTD,2.53%
6.KDDI CORP,2.17%
7.TERUMO CORP,1.86%
8.TDK CORP,1.85%
9.FANUC CORP,1.73%
10.DAIKIN INDUSTRIES LTD,1.70%
