股票名稱,持股(%)
1.通用汽車公司,11.72%
2.福特汽車公司,9.76%
3.本田汽車,8.80%
4.特斯拉公司,7.16%
5.豐田汽車公司,5.17%
6.康明斯公司,4.87%
7.ON SEMICONDUCTOR,4.70%
8.理想汽車公司,4.59%
9.Texas Instruments In,4.54%
10.繁星聯盟公眾有限公司,3.62%
