股票名稱,持股(%)
1.Kweichow Moutai Co Ltd,15.92%
2.Ping An Insurance Group Co of China Ltd,6.92%
3.China Merchants Bank Co Ltd,5.94%
4.China Yangtze Power Co Ltd,3.67%
5.Industrial Bank Co Ltd,3.63%
6.Zijin Mining Group Co Ltd,3.23%
7.CITIC Securities Co Ltd,3.11%
8.Jiangsu Hengrui Pharmaceuticals Co Ltd,2.85%
9.Industrial & Commercial Bank of China Ltd,2.80%
10.Inner Mongolia Yili Industrial Group Co Ltd,2.70%
