股票名稱,持股(%)
1.Kweichow Moutai Co Ltd,5.67%
2.Contemporary Amperex Technology Co Ltd,1.92%
3.China Merchants Bank Co Ltd,1.76%
4.China Yangtze Power Co Ltd,1.63%
5.Wuliangye Yibin Co Ltd,1.46%
6.Ping An Insurance Group Co of China Ltd,1.23%
7.Agricultural Bank of China Ltd,0.95%
8.Shenzhen Mindray Bio-Medical Electronics Co Ltd,0.93%
9.BYD Co Ltd,0.92%
10.Industrial Bank Co Ltd,0.92%
