股票名稱,持股(%)
1.比亞迪,6.73%
2.立訊精密,4.42%
3.寧波銀行,4.24%
4.牧原股份,3.90%
5.恩捷股份,3.18%
6.洋河股份,3.13%
7.順豐控股,3.06%
8.贛鋒鋰業,2.92%
9.中環股份,2.90%
10.歌爾聲學,2.77%
