股票名稱,持股(%)
1.QATAR 4.817 03/14/49,2.53%
2.QATAR 4.4 04/16/50,2.38%
3.QATAR 5.103 04/23/48,2.30%
4.KSA 4 1/2 10/26/46,2.08%
5.URUGUA 5.1 06/18/50,1.34%
6.ARAMCO 4 3/8 04/16/49,1.28%
7.BMETR 3.693 09/13/61,1.28%
8.PERU 5 5/8 11/18/50,1.23%
9.KSA 4 5/8 10/04/47,1.21%
10.PERTIJ 6.45 05/30/44,1.19%
