股票名稱,持股(%)
1.MICROSOFT CORP-USA,11.78%
2.APPLE INC-USA,10.76%
3.NVIDIA CORP-USA,7.55%
4.AMAZON.COM INC-USA,7.05%
5.META PLATFORMS INC-CLASS A-USA,4.20%
6.ALPHABET INC-CL A-USA,3.16%
7.ALPHABET INC-CL C-USA,3.09%
8.ELI LILLY & CO-USA,2.76%
9.TESLA INC-USA,2.48%
10.BROADCOM INC-USA,2.35%
