股票名稱,持股(%)
1.NVIDIA CORP,10.70%
2.META PLATFORMS INC-CLASS A,9.46%
3.MICROSOFT CORP,7.05%
4.ALPHABET INC-CL A,6.39%
5.ADVANCED MICRO DEVICES,5.33%
6.MARVELL TECHNOLOGY INC,4.88%
7.EQUINIX INC,3.90%
8.DIGITAL REALTY TRUST INC,3.89%
9.INTEL CORP,3.63%
10.SNOWFLAKE INC-CLASS A,3.57%
