股票名稱,持股(%)
1.AAL 5 1/2 04/20/26,1.66%
2.UAL 4 3/8 04/15/26,1.58%
3.ISPIM 5.71 01/15/26,1.41%
4.COMM 6 03/01/26,1.38%
5.BPR 5 3/4 05/15/26,1.24%
6.ALIANT 4 1/4 10/15/27,1.04%
7.NWL 4.2 04/01/26,0.98%
8.THC 4 7/8 01/01/26,0.96%
9.IEP 5 1/4 05/15/27,0.90%
10.OMF 6 7/8 03/15/25,0.88%
