代號,股票名稱,持股票名稱,持股(%)
0050,元大台灣50,1.台積電,50.38%
0050,元大台灣50,2.聯發科,5.12%
0050,元大台灣50,3.鴻海,3.42%
0050,元大台灣50,4.台達電,1.92%
0050,元大台灣50,5.廣達,1.86%
0050,元大台灣50,6.聯電,1.73%
0050,元大台灣50,7.中信金,1.62%
0050,元大台灣50,8.富邦金,1.59%
0050,元大台灣50,9.日月光投控,1.43%
0050,元大台灣50,10.中華電,1.38%
