股票名稱,持股(%)
1.NVIDIA CORP,21.79%
2.ADVANCED MICRO DEVICES,20.03%
3.TESLA INC,10.86%
4.EATON CORP PLC,8.13%
5.ABB LTD-REG,5.21%
6.NXP SEMICONDUCTORS NV,4.46%
7.CONTEMPORARY AMPEREX TECHN-A,3.46%
8.INFINEON TECHNOLOGIES AG,3.18%
9.LI AUTO INC - ADR,2.81%
10.STMICROELECTRONICS NV,2.05%
