股票名稱,持股(%)
1.台積電,31.31%
2.聯發科,15.72%
3.台達電,5.69%
4.聯電,5.21%
5.日月光投控,4.08%
6.聯詠,3.13%
7.智邦,2.59%
8.瑞昱,2.47%
9.欣興,2.11%
10.國巨,1.97%
