股票名稱,持股(%)
1.KWEICHOW MOUTAI CO LTD-A-CHN,5.50%
2.PING AN INSURANCE GROUP CO-A-CHN,2.39%
3.CONTEMPORARY AMPEREX TECHN-A-CHN,2.25%
4.CHINA MERCHANTS BANK-A-CHN,2.05%
5.MIDEA GROUP CO LTD-A-CHN,1.62%
6.WULIANGYE YIBIN CO LTD-A-CHN,1.45%
7.CHINA YANGTZE POWER CO LTD-A-CHN,1.29%
8.INDUSTRIAL BANK CO LTD -A-CHN,1.26%
9.ZIJIN MINING GROUP CO LTD-A-CHN,1.14%
10.CITIC SECURITIES CO-A-CHN,1.08%
