股票名稱,持股(%)
1.MICROSOFT CORP,16.07%
2.APPLE INC,12.86%
3.AMAZON.COM INC,8.65%
4.META PLATFORMS INC-CLASS A,5.91%
5.ALPHABET INC-CL A,4.45%
6.TESLA INC,3.03%
7.JPMORGAN CHASE & CO,2.91%
8.VISA INC-CLASS A SHARES,2.46%
9.MASTERCARD INC - A,2.16%
10.HOME DEPOT INC,2.07%
