股票名稱,持股(%)
1.ROLLS-ROYCE HOLDINGS,5.00%
2.ECHOSTAR CORP,4.60%
3.MITSUBISHI HEAVY IND,4.24%
4.CRANE CO,4.04%
5.SKY PERFECT JSAT HOL,3.99%
6.GARMIN LTD,3.95%
7.MOOG INC,3.92%
8.AMPHENOL CORP-CL A,3.75%
9.BALL CORP,3.57%
10.啟碁,3.54%
