股票名稱,持股(%)
1.SENTINELONE INC -CLASS A,4.00%
2.BROADCOM INC,3.81%
3.CROWDSTRIKE HOLDINGS INC - A,3.71%
4.CYBERARK SOFTWARE LTD/ISRAEL,3.59%
5.FORTINET INC,3.57%
6.JUNIPER NETWORKS INC,3.53%
7.CLOUDFLARE INC - CLASS A,3.47%
8.CHECK POINT SOFTWARE TECH,2.98%
9.NETSCOUT SYSTEMS INC,2.93%
10.ZIFF DAVIS INC,2.92%
