股票名稱,持股(%)
1.UNITEDHEALTH GROUP INC,9.38%
2.GOLDMAN SACHS GROUP INC,5.64%
3.HOME DEPOT INC,5.54%
4.MICROSOFT CORP,5.12%
5.McDonalds Corp,4.60%
6.AMGEN INC,4.30%
7.VISA INC-CLASS A SHARES,3.93%
8.CATERPILLAR INC,3.88%
9.HONEYWELL INTERNATIONAL INC,3.57%
10.JOHNSON & JOHNSON,3.33%
