股票名稱,持股(%)
1.NVIDIA CORP,25.73%
2.Tesla Inc,12.62%
3.台積電,12.14%
4.ADVANCED MICRO DEVICES,7.15%
5.Toyota Motor Corp,6.14%
6.Texas Instruments Inc,3.47%
7.UBER TECHNOLOGIES INC,3.46%
8.EATON CORP PLC,2.90%
9.Hitachi Ltd,1.98%
10.CANADIAN PACIFIC KANSAS CITY L,1.98%
