股票名稱,持股(%)
1.MICROSTRATEGY INC-CL A,8.52%
2.ROBINHOOD MARKETS INC - A,6.37%
3.COINBASE GLOBAL INC -CLASS A,6.32%
4.NVIDIA CORP,5.87%
5.MARATHON DIGITAL HOLDINGS IN,5.81%
6.BLOCK INC,5.17%
7.ADVANCED MICRO DEVICES,5.00%
8.SHIFT4 PAYMENTS INC-CLASS A,4.66%
9.EURONET WORLDWIDE INC,4.65%
10.MASTERCARD INC - A,4.62%
