股票名稱,持股(%)
1.QUALCOMM INC,6.89%
2.ASML HOLDING NV,6.89%
3.LAM RESEARCH CORP,6.41%
4.APPLIED MATERIALS INC,6.30%
5.台積電,5.99%
6.SHIN-ETSU CHEMICAL CO LTD,5.75%
7.TOKYO ELECTRON LTD,5.74%
8.聯發科,3.85%
9.INFINEON TECHNOLOGIES AG,3.12%
10.HOYA CORP,3.04%
