股票名稱,持股(%)
1.NVIDIA CORP,10.63%
2.ADVANCED MICRO DEVICES,9.99%
3.BROADCOM INC,8.83%
4.QUALCOMM INC,7.55%
5.INTEL CORP,6.05%
6.ASML HOLDING NV-NY REG SHS,4.37%
7.APPLIED MATERIALS INC,4.23%
8.TAIWAN SEMICONDUCTOR-SP ADR,4.15%
9.LAM RESEARCH CORP,4.12%
10.MARVELL TECHNOLOGY INC,4.04%
