股票名稱,持股(%)
1.奇鋐,7.91%
2.技嘉,7.81%
3.英業達,7.75%
4.仁寶,6.84%
5.矽力*-KY,6.28%
6.宏碁,5.98%
7.微星,5.97%
8.群光,5.40%
9.力成,5.04%
10.嘉澤,4.42%
