股票名稱,持股(%)
1.CITIGROUP CAPITAL XIII 12.02159 2040/10/30,2.52%
2.APOLLO GLOBAL MANAGEMENT 6.75 2026/7/31,1.74%
3.JPMORGAN CHASE & CO 6 PERP EE,1.72%
4.WELLS FARGO & COMPANY 4.75 PERP Z,1.61%
5.JPMORGAN CHASE & CO 5.75 PERP DD,1.56%
6.JPMORGAN CHASE & CO 4.625 PERP LL,1.54%
7.JPMORGAN CHASE & CO 4.2 PERP MM,1.48%
8.AT&T INC 4.75 PERP C,1.43%
9.JPMORGAN CHASE & CO 4.55 PERP JJ,1.27%
10.BANK OF AMERICA CORP 6 PERP GG,1.24%
