股票名稱,持股(%)
1.KWEICHOW MOUTAI CO LTD-A,13.39%
2.CONTEMPORARY AMPEREX TECHN-A,5.56%
3.CHINA MERCHANTS BANK-A,4.80%
4.WULIANGYE YIBIN CO LTD-A,3.67%
5.CHINA YANGTZE POWER CO LTD-A,3.01%
6.PING AN INSURANCE GROUP CO-A,2.81%
7.BYD CO LTD -A,2.57%
8.INDUSTRIAL BANK CO LTD -A,2.48%
9.SHENZHEN MINDRAY BIO-MEDIC-A,2.21%
10.IND & COMM BK OF CHINA-A,2.15%
