股票名稱,持股(%)
1.台積電,26.38%
2.聯發科,13.29%
3.瑞昱,9.50%
4.聯電,9.50%
5.日月光投控,8.41%
6.穩懋,3.99%
7.華邦電,3.98%
8.環球晶,3.62%
9.中美晶,3.45%
10.南亞科,3.29%
