股票名稱,持股(%)
1.騰訊控股,13.81%
2.阿里巴巴-SW,8.44%
3.拼多多公司,4.39%
4.CHINA CONSTRUCTION B,4.26%
5.美團點評,3.84%
6.網易-S,3.33%
7.IND & COMM BK OF CHI,2.58%
8.中國銀行,2.40%
9.PING AN INSURANCE GR,2.31%
10.百度集團-SW,2.20%
