股票名稱,持股(%)
1.台積電,6.84%
2.TENCENT HOLDINGS LTD,2.93%
3.ALIBABA GROUP HOLDING LTD,2.04%
4.RELIANCE INDUSTRIES LTD,1.56%
5.HDFC BANK LIMITED,1.05%
6.INFOSYS LTD,0.94%
7.TATA MOTORS LTD,0.82%
8.聯發科,0.81%
9.CHINA CONSTRUCTION BANK-H,0.75%
10.MEITUAN,0.70%
