股票名稱,持股(%)
1.ANNALY CAPITAL MANAGEMENT IN-USA,18.06%
2.AGNC INVESTMENT CORP-USA,11.83%
3.STARWOOD PROPERTY TRUST INC-USA,11.51%
4.RITHM CAPITAL CORP-USA,10.01%
5.BLACKSTONE MORTGAGE TRU-CL A-USA,6.71%
6.ARBOR REALTY TRUST INC-USA,4.71%
7.APOLLO COMMERCIAL REAL ESTAT-USA,3.04%
8.READY CAPITAL CORP-USA,2.70%
9.TWO HARBORS INVESTMENT CORP-USA,2.35%
10.PENNYMAC MORTGAGE INVESTMENT-USA,2.35%
