股票名稱,持股(%)
1.長榮,9.84%
2.聯電,7.14%
3.聯詠,7.06%
4.鴻海,6.09%
5.廣達,5.80%
6.中信金,5.36%
7.中美晶,4.97%
8.可成,4.71%
9.和碩,4.60%
10.瑞儀,4.18%
