股票名稱,持股(%)
1.HOA PHAT GROUP JSC,11.21%
2.BANK FOR FOREIGN TRADE OF VIETNAM,9.43%
3.VIETNAM DAIRY PRODUCTS JSC,8.85%
4.VINHOMES JSC,8.42%
5.VINGROUP JSC,7.97%
6.MASAN GROUP CORP,7.67%
7.SSI SECURITIES CORP,7.37%
8.VINCOM RETAIL JSC,4.06%
9.DUC GIANG CHEMICALS JSC,3.54%
10.VNDIRECT SECURITIES CORP,3.34%
