股票名稱,持股(%)
1.UNITEDHEALTH GROUP INC,7.89%
2.MICROSOFT CORP,6.61%
3.GOLDMAN SACHS GROUP INC,6.22%
4.HOME DEPOT INC,6.08%
5.CATERPILLAR INC,5.34%
6.SALESFORCE INC,4.93%
7.McDonalds Corp,4.67%
8.VISA INC-CLASS A SHARES,4.52%
9.AMGEN INC,4.38%
10.TRAVELERS COS INC/THE,3.53%
