股票名稱,持股(%)
1.台積電,20.81%
2.SAMSUNG ELECTRONICS CO LTD,17.27%
3.SK HYNIX INC,7.03%
4.聯發科,6.41%
5.鴻海,4.37%
6.NAVER CORP,2.46%
7.廣達,2.25%
8.聯電,2.00%
9.台達電,1.96%
10.SAMSUNG SDI CO LTD,1.65%
