行業類別,比重(%)
半導體業,62.10%
金融保險,12.54%
電腦及週邊設備業,5.99%
其他電子業,4.38%
電子零組件業,3.46%
其餘行業 - 通信網路業,2.88%
其餘行業 - 塑膠工業,1.98%
其餘行業 - 食品工業,0.99%
其餘行業 - 鋼鐵工業,0.81%
其餘行業 - 光電業,0.68%
其餘行業 - 其他,0.66%
其餘行業 - 汽車工業,0.57%
其餘行業 - 水泥工業,0.56%
其餘行業 - 航運業,0.47%
其餘行業 - 電機機械,0.41%
其餘行業 - 貿易百貨,0.41%
其餘行業 - 其他產業,0.33%
其餘行業 - 油電燃氣業,0.25%
