行業類別,比重(%)
半導體業,52.25%
航運業,11.67%
電子零組件業,9.52%
電腦及週邊設備業,6.37%
其他電子業,4.70%
其餘行業 - 文化創意業,4.43%
其餘行業 - 金融保險,3.79%
其餘行業 - 光電業,3.28%
其餘行業 - 電機機械,1.67%
其餘行業 - 鋼鐵工業,1.34%
其餘行業 - 居家生活,0.58%
其餘行業 - 化學工業,0.39%
其餘行業 - 其他產業,0.23%
