行業類別,比重(%)
半導體業,46.46%
金融保險,15.62%
電腦及週邊設備業,9.93%
其他電子業,6.77%
電子零組件業,4.56%
其餘行業 - 通信網路業,3.59%
其餘行業 - 塑膠工業,2.48%
其餘行業 - 其他產業,1.89%
其餘行業 - 航運業,1.63%
其餘行業 - 食品工業,1.24%
其餘行業 - 水泥工業,1.04%
其餘行業 - 其他,0.94%
其餘行業 - 電機機械,0.85%
其餘行業 - 紡織纖維,0.77%
其餘行業 - 運動休閒,0.54%
其餘行業 - 貿易百貨,0.52%
其餘行業 - 電器電纜,0.35%
其餘行業 - 油電燃氣業,0.32%
其餘行業 - 橡膠工業,0.30%
其餘行業 - 汽車工業,0.26%
其餘行業 - 化學工業,0.26%
其餘行業 - 居家生活,0.17%
其餘行業 - 數位雲端,0.10%
