行業類別,比重(%)
半導體業,41.44%
金融保險,12.63%
電腦及週邊設備業,8.44%
電子零組件業,6.50%
通信網路業,4.00%
其餘行業 - 塑膠工業,2.33%
其餘行業 - 航運業,2.20%
其餘行業 - 電機機械,1.48%
其餘行業 - 汽車工業,1.47%
其餘行業 - 鋼鐵工業,1.38%
其餘行業 - 油電燃氣業,1.33%
其餘行業 - 食品工業,1.25%
其餘行業 - 其他產業,1.24%
其餘行業 - 電子通路業,1.02%
其餘行業 - 運動休閒,0.93%
其餘行業 - 紡織纖維,0.89%
其餘行業 - 貿易百貨,0.74%
其餘行業 - 水泥工業,0.70%
其餘行業 - 建材營造,0.64%
其餘行業 - 橡膠工業,0.42%
其餘行業 - 電器電纜,0.34%
其餘行業 - 化學工業,0.33%
其餘行業 - 造紙工業,0.21%
其餘行業 - 生技醫療業,0.21%
其餘行業 - 居家生活,0.20%
其餘行業 - 數位雲端,0.18%
其餘行業 - 玻璃陶瓷,0.09%
其餘行業 - 資訊服務業,0.06%
其餘行業 - 觀光餐旅,0.06%
