行業類別,比重(%)
北美,31.77%
日本,24.27%
半導體業,14.51%
已開發歐洲,11.83%
其他產業,7.69%
其餘行業 - 大陸有價證券,7.42%
其餘行業 - 電子零組件業,1.99%
其餘行業 - 亞洲不含日本,0.90%
其餘行業 - 電腦及週邊設備業,0.85%
其餘行業 - 光電業,0.51%
其餘行業 - 通信網路業,0.49%
其餘行業 - 其他電子業,0.22%
