行業類別,比重(%)
北美,88.29%
亞洲不含日本,4.63%
其他產業,4.40%
通信網路業,2.99%
已開發歐洲,1.65%
其餘行業 - 光電業,0.93%
其餘行業 - 日本,0.36%
