行業類別,比重(%)
通信網路業,14.01%
其他電子業,10.87%
食品工業,10.79%
半導體業,9.62%
電子零組件業,9.37%
其餘行業 - 電腦及週邊設備業,7.41%
其餘行業 - 貿易百貨,5.68%
其餘行業 - 鋼鐵工業,4.68%
其餘行業 - 金融保險,4.04%
其餘行業 - 光電業,3.97%
其餘行業 - 其他,3.64%
其餘行業 - 化學工業,3.40%
其餘行業 - 運動休閒,2.80%
其餘行業 - 其他產業,2.26%
其餘行業 - 電子通路業,2.19%
其餘行業 - 航運業,1.85%
其餘行業 - 建材營造,1.50%
其餘行業 - 汽車工業,1.02%
其餘行業 - 資訊服務業,0.99%
其餘行業 - 紡織纖維,0.96%
