行業類別,比重(%)
半導體業,63.70%
塑膠工業,7.42%
電子零組件業,7.28%
其他電子業,5.09%
光電業,3.48%
其餘行業 - 電腦及週邊設備業,3.40%
其餘行業 - 紡織纖維,2.10%
其餘行業 - 電機機械,1.56%
其餘行業 - 食品工業,1.55%
其餘行業 - 化學工業,1.04%
其餘行業 - 生技醫療業,0.90%
其餘行業 - 橡膠工業,0.27%
其餘行業 - 其他產業,0.19%
