行業類別,比重(%)
半導體業,28.98%
其他電子業,13.12%
文化創意業,12.93%
橡膠工業,11.48%
鋼鐵工業,7.64%
其餘行業 - 塑膠工業,6.14%
其餘行業 - 電子零組件業,5.82%
其餘行業 - 電腦及週邊設備業,4.79%
其餘行業 - 運動休閒,4.14%
其餘行業 - 生技醫療業,3.98%
其餘行業 - 光電業,0.35%
其餘行業 - 其他產業,0.34%
