行業類別,比重(%)
半導體業,45.63%
金融保險,24.07%
通信網路業,7.31%
電機機械,3.69%
光電業,3.68%
其餘行業 - 電腦及週邊設備業,3.61%
其餘行業 - 電子零組件業,2.46%
其餘行業 - 其他電子業,2.13%
其餘行業 - 貿易百貨,1.89%
其餘行業 - 食品工業,1.52%
其餘行業 - 其他,1.24%
其餘行業 - 其他產業,0.87%
其餘行業 - 汽車工業,0.37%
其餘行業 - 塑膠工業,0.06%
其餘行業 - 航運業,0.03%
其餘行業 - 鋼鐵工業,0.02%
其餘行業 - 水泥工業,0.02%
