行業類別,比重(%)
半導體業,14.31%
電子零組件業,14.01%
電腦及週邊設備業,13.27%
電機機械,6.45%
其他電子業,5.96%
其餘行業 - 光電業,5.07%
其餘行業 - 航運業,4.60%
其餘行業 - 金融保險,4.50%
其餘行業 - 其他產業,4.46%
其餘行業 - 電子通路業,4.31%
其餘行業 - 紡織纖維,4.10%
其餘行業 - 運動休閒,3.75%
其餘行業 - 其他,1.98%
其餘行業 - 汽車工業,1.60%
其餘行業 - 食品工業,1.56%
其餘行業 - 鋼鐵工業,1.49%
其餘行業 - 電器電纜,1.36%
其餘行業 - 水泥工業,1.35%
其餘行業 - 生技醫療業,1.22%
其餘行業 - 橡膠工業,1.18%
其餘行業 - 化學工業,1.10%
其餘行業 - 建材營造,0.99%
其餘行業 - 通信網路業,0.76%
其餘行業 - 居家生活,0.65%
其餘行業 - 造紙工業,0.53%
其餘行業 - 貿易百貨,0.45%
其餘行業 - 數位雲端,0.37%
其餘行業 - 玻璃陶瓷,0.31%
