行業類別,比重(%)
半導體業,23.34%
其他電子業,14.86%
電子零組件業,11.48%
通信網路業,9.24%
金融保險,8.84%
其餘行業 - 塑膠工業,6.21%
其餘行業 - 鋼鐵工業,4.73%
其餘行業 - 食品工業,4.20%
其餘行業 - 其他,3.19%
其餘行業 - 電子通路業,2.77%
其餘行業 - 電腦及週邊設備業,2.43%
其餘行業 - 貿易百貨,2.15%
其餘行業 - 運動休閒,1.84%
其餘行業 - 其他產業,1.80%
其餘行業 - 紡織纖維,1.37%
其餘行業 - 水泥工業,1.17%
其餘行業 - 光電業,0.90%
其餘行業 - 化學工業,0.55%
其餘行業 - 建材營造,0.19%
