行業類別,比重(%)
半導體業,61.63%
電腦及週邊設備業,10.83%
電子零組件業,9.88%
其他電子業,5.94%
通信網路業,4.92%
其餘行業 - 光電業,2.46%
其餘行業 - 電子通路業,1.20%
其餘行業 - 其他產業,0.85%
其餘行業 - 資訊服務業,0.21%
