行業類別,比重(%)
半導體業,26.81%
電腦及週邊設備業,16.95%
其他電子業,12.12%
電機機械,7.54%
電子零組件業,7.37%
其餘行業 - 光電業,5.02%
其餘行業 - 塑膠工業,4.75%
其餘行業 - 水泥工業,3.71%
其餘行業 - 通信網路業,3.36%
其餘行業 - 其他產業,3.14%
其餘行業 - 鋼鐵工業,2.83%
其餘行業 - 汽車工業,2.52%
其餘行業 - 其他,2.38%
其餘行業 - 電器電纜,1.67%
其餘行業 - 化學工業,1.31%
