行業類別,比重(%)
電腦及週邊設備業,31.93%
金融保險,21.65%
半導體業,17.86%
電子通路業,8.17%
通信網路業,5.33%
其餘行業 - 其他電子業,3.70%
其餘行業 - 紡織纖維,2.88%
其餘行業 - 塑膠工業,2.41%
其餘行業 - 食品工業,2.40%
其餘行業 - 水泥工業,2.24%
其餘行業 - 其他產業,0.38%
