行業類別,比重(%)
半導體業,60.43%
金融保險,12.79%
電腦及週邊設備業,8.89%
其他電子業,5.36%
電子零組件業,3.90%
其餘行業 - 通信網路業,3.63%
其餘行業 - 食品工業,1.05%
其餘行業 - 其他,0.73%
其餘行業 - 紡織纖維,0.60%
其餘行業 - 貿易百貨,0.49%
其餘行業 - 電子通路業,0.41%
其餘行業 - 其他產業,0.36%
其餘行業 - 電器電纜,0.32%
其餘行業 - 運動休閒,0.32%
其餘行業 - 航運業,0.29%
