行業類別,比重(%)
北美,74.26%
已開發歐洲,11.61%
亞洲不含日本,4.61%
大陸有價證券,4.30%
日本,3.14%
其餘行業 - 電子零組件業,1.42%
其餘行業 - 其他產業,0.81%
