行業類別,比重(%)
半導體業,19.11%
電腦及週邊設備業,12.32%
其他電子業,11.97%
電子零組件業,10.66%
光電業,10.05%
其餘行業 - 電子通路業,8.90%
其餘行業 - 金融保險,7.64%
其餘行業 - 食品工業,7.10%
其餘行業 - 鋼鐵工業,6.17%
其餘行業 - 文化創意業,5.76%
其餘行業 - 其他產業,3.93%
其餘行業 - 其他,0.05%
其餘行業 - 通信網路業,0.04%
