行業類別,比重(%)
電腦及週邊設備業,48.49%
電子零組件業,22.65%
半導體業,18.08%
通信網路業,2.63%
其他電子業,1.40%
其餘行業 - 化學工業,1.31%
其餘行業 - 光電業,1.02%
其餘行業 - 航運業,0.89%
其餘行業 - 建材營造,0.74%
其餘行業 - 生技醫療業,0.67%
其餘行業 - 其他產業,0.48%
其餘行業 - 電器電纜,0.40%
其餘行業 - 鋼鐵工業,0.36%
其餘行業 - 數位雲端,0.24%
其餘行業 - 汽車工業,0.23%
其餘行業 - 玻璃陶瓷,0.15%
