行業類別,比重(%)
半導體業,29.19%
電腦及週邊設備業,15.61%
其他電子業,14.85%
航運業,12.18%
金融保險,5.32%
其餘行業 - 電子零組件業,5.07%
其餘行業 - 光電業,4.67%
其餘行業 - 其他產業,4.51%
其餘行業 - 其他,4.41%
其餘行業 - 電機機械,2.52%
其餘行業 - 橡膠工業,2.33%
其餘行業 - 汽車工業,1.59%
其餘行業 - 通信網路業,1.27%
其餘行業 - 化學工業,0.35%
