行業類別,比重(%)
半導體業,35.91%
電腦及週邊設備業,19.53%
電子零組件業,7.33%
通信網路業,5.66%
塑膠工業,5.25%
其餘行業 - 其他產業,4.82%
其餘行業 - 其他電子業,4.34%
其餘行業 - 光電業,3.87%
其餘行業 - 金融保險,3.56%
其餘行業 - 鋼鐵工業,2.86%
其餘行業 - 電子通路業,1.88%
其餘行業 - 航運業,1.88%
其餘行業 - 建材營造,1.70%
其餘行業 - 化學工業,1.68%
其餘行業 - 水泥工業,1.65%
