行業類別,比重(%)
北美,86.42%
其他產業,4.15%
紐澳,2.66%
半導體業,2.51%
亞洲不含日本,2.48%
其餘行業 - 日本,0.45%
其餘行業 - 已開發歐洲,0.17%
