行業類別,比重(%)
電腦及週邊設備業,24.65%
半導體業,19.33%
金融保險,9.92%
電子零組件業,9.19%
電子通路業,6.99%
其餘行業 - 其他電子業,5.99%
其餘行業 - 紡織纖維,3.67%
其餘行業 - 光電業,3.44%
其餘行業 - 其他產業,2.46%
其餘行業 - 鋼鐵工業,2.33%
其餘行業 - 水泥工業,2.31%
其餘行業 - 橡膠工業,2.21%
其餘行業 - 塑膠工業,2.17%
其餘行業 - 電器電纜,1.79%
其餘行業 - 建材營造,1.76%
其餘行業 - 通信網路業,1.17%
其餘行業 - 貿易百貨,0.89%
其餘行業 - 其他,0.83%
