行業類別,比重(%)
半導體業,46.00%
電子零組件業,17.30%
電腦及週邊設備業,14.93%
電子通路業,8.91%
其他電子業,4.91%
其餘行業 - 通信網路業,3.47%
其餘行業 - 光電業,3.27%
其餘行業 - 其他產業,2.38%
