行業類別,比重(%)
半導體業,25.57%
電子零組件業,16.91%
其他產業,16.56%
電腦及週邊設備業,8.21%
光電業,5.98%
其餘行業 - 化學工業,5.70%
其餘行業 - 金融保險,4.52%
其餘行業 - 鋼鐵工業,4.46%
其餘行業 - 紡織纖維,4.46%
其餘行業 - 航運業,4.37%
其餘行業 - 汽車工業,3.95%
其餘行業 - 通信網路業,3.44%
其餘行業 - 貿易百貨,2.99%
其餘行業 - 資訊服務業,2.60%
其餘行業 - 綠能環保,1.46%
其餘行業 - 建材營造,1.25%
其餘行業 - 數位雲端,0.79%
其餘行業 - 生技醫療業,0.52%
其餘行業 - 觀光餐旅,0.45%
