行業類別,比重(%)
半導體業,42.72%
電子零組件業,21.50%
其他產業,10.37%
光電業,6.67%
紡織纖維,5.11%
其餘行業 - 電子通路業,4.71%
其餘行業 - 其他電子業,4.58%
其餘行業 - 電腦及週邊設備業,3.94%
其餘行業 - 金融保險,2.34%
其餘行業 - 食品工業,1.67%
其餘行業 - 通信網路業,1.48%
其餘行業 - 運動休閒,1.00%
其餘行業 - 化學工業,0.76%
其餘行業 - 其他,0.70%
其餘行業 - 建材營造,0.69%
