行業類別,比重(%)
半導體業,54.91%
金融保險,10.56%
電子零組件業,9.36%
通信網路業,6.41%
塑膠工業,5.25%
其餘行業 - 其他,2.36%
其餘行業 - 其他電子業,2.05%
其餘行業 - 光電業,1.86%
其餘行業 - 電機機械,1.76%
其餘行業 - 電腦及週邊設備業,1.54%
其餘行業 - 水泥工業,0.85%
其餘行業 - 其他產業,0.84%
其餘行業 - 紡織纖維,0.80%
其餘行業 - 食品工業,0.58%
