行業類別,比重(%)
半導體業,33.91%
亞洲不含日本,33.18%
電腦及週邊設備業,9.37%
其他電子業,6.31%
電子零組件業,3.79%
其餘行業 - 通信網路業,3.07%
其餘行業 - 其他產業,2.19%
其餘行業 - 光電業,1.50%
其餘行業 - 電子通路業,0.77%
