行業類別,比重(%)
半導體業,55.15%
其他電子業,13.24%
電腦及週邊設備業,12.45%
電子零組件業,9.32%
光電業,2.96%
其餘行業 - 電機機械,2.25%
其餘行業 - 通信網路業,1.68%
其餘行業 - 水泥工業,1.13%
其餘行業 - 電器電纜,0.67%
其餘行業 - 橡膠工業,0.46%
其餘行業 - 其他產業,0.41%
其餘行業 - 汽車工業,0.17%
