行業類別,比重(%)
半導體業,48.29%
電子零組件業,11.78%
電子通路業,9.70%
電腦及週邊設備業,9.37%
文化創意業,3.75%
其餘行業 - 航運業,3.32%
其餘行業 - 其他電子業,2.78%
其餘行業 - 光電業,2.64%
其餘行業 - 紡織纖維,2.21%
其餘行業 - 建材營造,1.42%
其餘行業 - 運動休閒,1.40%
其餘行業 - 其他產業,1.29%
其餘行業 - 鋼鐵工業,0.81%
其餘行業 - 通信網路業,0.50%
其餘行業 - 居家生活,0.45%
其餘行業 - 其他,0.38%
