行業類別,比重(%)
半導體業,75.00%
電腦及週邊設備業,10.04%
其他電子業,6.56%
電子零組件業,4.33%
光電業,1.99%
其餘行業 - 電子通路業,1.02%
其餘行業 - 電機機械,0.27%
其餘行業 - 其他產業,0.13%
